Station Name,State,Data Type,Value,Value_Type,Date
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,03/23/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,03/24/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.2,in,03/25/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.2,in,03/26/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,03/27/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.2,in,03/28/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,03/29/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,1.1,in,03/30/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,03/31/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,1.3,in,04/01/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/02/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.3,in,04/03/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,04/04/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.3,in,04/05/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.8,in,04/06/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,04/07/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/08/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/09/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/10/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,04/11/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,04/12/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,1.1,in,04/13/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/14/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,04/15/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/16/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/17/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/18/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/19/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/20/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.3,in,04/21/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.5,in,04/22/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,04/23/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/24/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/25/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,04/26/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.5,in,04/27/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.6,in,04/28/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,1.0,in,04/29/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.3,in,04/30/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.5,in,05/01/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,05/02/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.3,in,05/03/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,05/04/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.2,in,05/05/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.3,in,05/06/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,05/07/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,05/08/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,05/09/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,05/10/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,05/11/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,05/12/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.2,in,05/13/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,05/14/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,05/15/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,05/16/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,05/17/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.3,in,05/18/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,05/19/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,05/20/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.7,in,05/21/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.6,in,05/22/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.4,in,05/23/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.4,in,05/24/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.2,in,05/25/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,05/26/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.2,in,05/27/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,05/28/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.6,in,05/29/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,05/30/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.2,in,05/31/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.2,in,06/01/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,06/02/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.4,in,06/03/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.7,in,06/04/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.5,in,06/05/2010
